Designator,Mid X,Mid Y,Layer,Rotation
C1,128.600000,-32.260000,Top,0.000000
C2,141.300000,-32.260000,Top,0.000000
C3,154.000000,-32.260000,Top,0.000000
C4,166.700000,-32.260000,Top,0.000000
C5,193.800000,-50.740000,Top,180.000000
C6,181.100000,-50.740000,Top,180.000000
C7,168.400000,-50.740000,Top,180.000000
C8,155.700000,-50.740000,Top,180.000000
C9,143.000000,-50.740000,Top,180.000000
C10,130.300000,-50.740000,Top,180.000000
C11,117.600000,-50.740000,Top,180.000000
C12,104.900000,-50.740000,Top,180.000000
C13,90.500000,-57.660000,Top,0.000000
C14,103.200000,-57.660000,Top,0.000000
C15,115.900000,-57.660000,Top,0.000000
C16,128.600000,-57.660000,Top,0.000000
C17,141.300000,-57.660000,Top,0.000000
C18,154.000000,-57.660000,Top,0.000000
C19,166.700000,-57.660000,Top,0.000000
C20,179.400000,-57.660000,Top,0.000000
C21,192.100000,-57.660000,Top,0.000000
C22,204.800000,-57.660000,Top,0.000000
C23,206.500000,-76.140000,Top,180.000000
C24,193.800000,-76.140000,Top,180.000000
C25,181.100000,-76.140000,Top,180.000000
C26,168.400000,-76.140000,Top,180.000000
C27,155.700000,-76.140000,Top,180.000000
C28,143.000000,-76.140000,Top,180.000000
C29,130.300000,-76.140000,Top,180.000000
C30,117.600000,-76.140000,Top,180.000000
C31,104.900000,-76.140000,Top,180.000000
C32,92.200000,-76.140000,Top,180.000000
C33,77.800000,-83.060000,Top,0.000000
C34,90.500000,-83.060000,Top,0.000000
C35,103.200000,-83.060000,Top,0.000000
C36,115.900000,-83.060000,Top,0.000000
C37,128.600000,-83.060000,Top,0.000000
C38,141.300000,-83.060000,Top,0.000000
C39,154.000000,-83.060000,Top,0.000000
C40,166.700000,-83.060000,Top,0.000000
C41,179.400000,-83.060000,Top,0.000000
C42,192.100000,-83.060000,Top,0.000000
C43,204.800000,-83.060000,Top,0.000000
C44,217.500000,-83.060000,Top,0.000000
C45,219.200000,-101.540000,Top,180.000000
C46,206.500000,-101.540000,Top,180.000000
C47,193.800000,-101.540000,Top,180.000000
C48,181.100000,-101.540000,Top,180.000000
C49,168.400000,-101.540000,Top,180.000000
C50,155.700000,-101.540000,Top,180.000000
C51,143.000000,-101.540000,Top,180.000000
C52,130.300000,-101.540000,Top,180.000000
C53,117.600000,-101.540000,Top,180.000000
C54,104.900000,-101.540000,Top,180.000000
C55,92.200000,-101.540000,Top,180.000000
C56,79.500000,-101.540000,Top,180.000000
C57,77.800000,-108.460000,Top,0.000000
C58,90.500000,-108.460000,Top,0.000000
C59,103.200000,-108.460000,Top,0.000000
C60,115.900000,-108.460000,Top,0.000000
C61,128.600000,-108.460000,Top,0.000000
C62,141.300000,-108.460000,Top,0.000000
C63,154.000000,-108.460000,Top,0.000000
C64,166.700000,-108.460000,Top,0.000000
C65,179.400000,-108.460000,Top,0.000000
C66,192.100000,-108.460000,Top,0.000000
C67,204.800000,-108.460000,Top,0.000000
C68,217.500000,-108.460000,Top,0.000000
C69,219.200000,-126.940000,Top,180.000000
C70,206.500000,-126.940000,Top,180.000000
C71,193.800000,-126.940000,Top,180.000000
C72,181.100000,-126.940000,Top,180.000000
C73,168.400000,-126.940000,Top,180.000000
C74,155.700000,-126.940000,Top,180.000000
C75,143.000000,-126.940000,Top,180.000000
C76,130.300000,-126.940000,Top,180.000000
C77,117.600000,-126.940000,Top,180.000000
C78,104.900000,-126.940000,Top,180.000000
C79,92.200000,-126.940000,Top,180.000000
C80,79.500000,-126.940000,Top,180.000000
C81,90.500000,-133.860000,Top,0.000000
C82,103.200000,-133.860000,Top,0.000000
C83,115.900000,-133.860000,Top,0.000000
C84,128.600000,-133.860000,Top,0.000000
C85,141.300000,-133.860000,Top,0.000000
C86,154.000000,-133.860000,Top,0.000000
C87,166.700000,-133.860000,Top,0.000000
C88,179.400000,-133.860000,Top,0.000000
C89,192.100000,-133.860000,Top,0.000000
C90,204.800000,-133.860000,Top,0.000000
C91,206.500000,-152.340000,Top,180.000000
C92,193.800000,-152.340000,Top,180.000000
C93,181.100000,-152.340000,Top,180.000000
C94,168.400000,-152.340000,Top,180.000000
C95,155.700000,-152.340000,Top,180.000000
C96,143.000000,-152.340000,Top,180.000000
C97,130.300000,-152.340000,Top,180.000000
C98,117.600000,-152.340000,Top,180.000000
