Designator,Mid X,Mid Y,Layer,Rotation
C1,89.252000,-141.075000,Top,90.000000
C3,88.526000,-130.411000,Top,90.000000
C5,88.526000,-117.711000,Top,90.000000
C7,88.526000,-105.011000,Top,90.000000
C9,88.526000,-92.311000,Top,90.000000
C11,88.526000,-79.611000,Top,90.000000
C12,89.252000,-68.947000,Top,90.000000
C14,101.226000,-54.211000,Top,90.000000
C16,101.226000,-66.911000,Top,90.000000
C18,101.226000,-79.611000,Top,90.000000
C20,101.226000,-92.311000,Top,90.000000
C22,101.226000,-105.011000,Top,90.000000
C24,101.226000,-117.711000,Top,90.000000
C26,101.226000,-130.411000,Top,90.000000
C28,101.226000,-143.111000,Top,90.000000
C30,101.226000,-155.811000,Top,90.000000
C31,114.462000,-166.535000,Top,90.000000
C33,113.926000,-155.811000,Top,90.000000
C35,113.926000,-143.111000,Top,90.000000
C37,113.926000,-130.411000,Top,90.000000
C39,113.926000,-117.711000,Top,90.000000
C41,113.926000,-105.011000,Top,90.000000
C43,113.926000,-92.311000,Top,90.000000
C45,113.926000,-79.611000,Top,90.000000
C47,113.926000,-66.911000,Top,90.000000
C49,113.926000,-54.211000,Top,90.000000
C50,114.462000,-43.487000,Top,90.000000
C52,126.626000,-41.511000,Top,90.000000
C54,126.626000,-54.211000,Top,90.000000
C56,126.626000,-66.911000,Top,90.000000
C58,126.626000,-79.611000,Top,90.000000
C60,126.626000,-92.311000,Top,90.000000
C62,126.626000,-105.011000,Top,90.000000
C64,126.626000,-117.711000,Top,90.000000
C66,126.626000,-130.411000,Top,90.000000
C68,126.626000,-143.111000,Top,90.000000
C70,126.626000,-155.811000,Top,90.000000
C72,126.626000,-168.511000,Top,90.000000
C74,139.326000,-168.511000,Top,90.000000
C76,139.326000,-155.811000,Top,90.000000
C78,139.326000,-143.111000,Top,90.000000
C80,139.326000,-130.411000,Top,90.000000
C82,139.326000,-117.711000,Top,90.000000
C84,139.326000,-105.011000,Top,90.000000
C86,139.326000,-92.311000,Top,90.000000
C88,139.326000,-79.611000,Top,90.000000
C90,139.326000,-66.911000,Top,90.000000
C92,139.326000,-54.211000,Top,90.000000
C94,139.326000,-41.511000,Top,90.000000
C96,152.026000,-41.511000,Top,90.000000
C98,152.026000,-54.211000,Top,90.000000
C100,152.026000,-66.911000,Top,90.000000
C102,152.026000,-79.611000,Top,90.000000
C104,152.026000,-92.311000,Top,90.000000
C106,152.026000,-105.011000,Top,90.000000
C108,152.026000,-117.711000,Top,90.000000
C110,152.026000,-130.411000,Top,90.000000
C112,152.026000,-143.111000,Top,90.000000
C114,152.026000,-155.811000,Top,90.000000
C116,152.026000,-168.511000,Top,90.000000
C118,164.726000,-168.511000,Top,90.000000
C120,164.726000,-155.811000,Top,90.000000
C122,164.726000,-143.111000,Top,90.000000
C124,164.726000,-130.411000,Top,90.000000
C126,164.726000,-117.711000,Top,90.000000
C128,164.726000,-105.011000,Top,90.000000
C130,164.726000,-92.311000,Top,90.000000
C132,164.726000,-79.611000,Top,90.000000
C134,164.726000,-66.911000,Top,90.000000
C136,164.726000,-54.211000,Top,90.000000
C138,164.726000,-41.511000,Top,90.000000
C140,177.426000,-41.511000,Top,90.000000
C142,177.426000,-54.211000,Top,90.000000
C144,177.426000,-66.911000,Top,90.000000
C146,177.426000,-79.611000,Top,90.000000
C148,177.426000,-92.311000,Top,90.000000
C150,177.426000,-105.011000,Top,90.000000
C152,177.426000,-117.711000,Top,90.000000
C154,177.426000,-130.411000,Top,90.000000
C156,177.426000,-143.111000,Top,90.000000
C158,177.426000,-155.811000,Top,90.000000
C160,177.426000,-168.511000,Top,90.000000
C161,189.590000,-166.535000,Top,-90.000000
C163,190.126000,-155.811000,Top,90.000000
C165,190.126000,-143.111000,Top,90.000000
C167,190.126000,-130.411000,Top,90.000000
C169,190.126000,-117.711000,Top,90.000000
C171,190.126000,-105.011000,Top,90.000000
C173,190.126000,-92.311000,Top,90.000000
C175,190.126000,-79.611000,Top,90.000000
C177,190.126000,-66.911000,Top,90.000000
C179,190.126000,-54.211000,Top,90.000000
C180,189.590000,-43.487000,Top,90.000000
C182,202.826000,-54.211000,Top,90.000000
C184,202.826000,-66.911000,Top,90.000000
C186,202.826000,-79.611000,Top,90.000000
C188,202.826000,-92.311000,Top,90.000000
C190,202.826000,-105.011000,Top,90.000000
C192,202.826000,-117.711000,Top,90.000000
C194,202.826000,-130.411000,Top,90.000000
C196,202.826000,-143.111000,Top,90.000000
C198,202.826000,-155.811000,Top,90.000000
C199,207.748000,-141.075000,Top,90.000000
C201,208.474000,-130.411000,Top,90.000000
C203,208.474000,-117.711000,Top,90.000000
C205,208.474000,-105.011000,Top,90.000000
C207,208.474000,-92.311000,Top,90.000000
C209,208.474000,-79.611000,Top,90.000000
C210,207.748000,-68.947000,Top,90.000000
C211,158.100000,-35.290000,Top,0.000000
C212,158.100000,-31.830000,Top,0.000000
D229,158.100000,-179.200000,Top,0.000000
R1,106.600000,-163.553400,Top,-90.000000
U2,85.000000,-130.400000,Top,90.000000
U4,85.000000,-117.700000,Top,90.000000
U6,85.000000,-105.000000,Top,90.000000
U8,85.000000,-92.300000,Top,90.000000
U10,85.000000,-79.600000,Top,90.000000
U13,97.700000,-54.200000,Top,-90.000000
U15,97.700000,-66.900000,Top,-90.000000
U17,97.700000,-79.600000,Top,-90.000000
U19,97.700000,-92.300000,Top,-90.000000
U21,97.700000,-105.000000,Top,-90.000000
U23,97.700000,-117.700000,Top,-90.000000
U25,97.700000,-130.400000,Top,-90.000000
U27,97.700000,-143.100000,Top,-90.000000
U29,97.700000,-155.800000,Top,-90.000000
U32,110.400000,-155.800000,Top,90.000000
U34,110.400000,-143.100000,Top,90.000000
U36,110.400000,-130.400000,Top,90.000000
U38,110.400000,-117.700000,Top,90.000000
U40,110.400000,-105.000000,Top,90.000000
U42,110.400000,-92.300000,Top,90.000000
U44,110.400000,-79.600000,Top,90.000000
U46,110.400000,-66.900000,Top,90.000000
U48,110.400000,-54.200000,Top,90.000000
U51,123.100000,-41.500000,Top,-90.000000
U53,123.100000,-54.200000,Top,-90.000000
U55,123.100000,-66.900000,Top,-90.000000
U57,123.100000,-79.600000,Top,-90.000000
U59,123.100000,-92.300000,Top,-90.000000
U61,123.100000,-105.000000,Top,-90.000000
U63,123.100000,-117.700000,Top,-90.000000
U65,123.100000,-130.400000,Top,-90.000000
U67,123.100000,-143.100000,Top,-90.000000
U69,123.100000,-155.800000,Top,-90.000000
U71,123.100000,-168.500000,Top,-90.000000
U73,135.800000,-168.500000,Top,90.000000
U75,135.800000,-155.800000,Top,90.000000
U77,135.800000,-143.100000,Top,90.000000
U79,135.800000,-130.400000,Top,90.000000
U81,135.800000,-117.700000,Top,90.000000
U83,135.800000,-105.000000,Top,90.000000
U85,135.800000,-92.300000,Top,90.000000
U87,135.800000,-79.600000,Top,90.000000
U89,135.800000,-66.900000,Top,90.000000
U91,135.800000,-54.200000,Top,90.000000
U93,135.800000,-41.500000,Top,90.000000
U95,148.500000,-41.500000,Top,-90.000000
U97,148.500000,-54.200000,Top,-90.000000
U99,148.500000,-66.900000,Top,-90.000000
U101,148.500000,-79.600000,Top,-90.000000
U103,148.500000,-92.300000,Top,-90.000000
U105,148.500000,-105.000000,Top,-90.000000
U107,148.500000,-117.700000,Top,-90.000000
U109,148.500000,-130.400000,Top,-90.000000
U111,148.500000,-143.100000,Top,-90.000000
U113,148.500000,-155.800000,Top,-90.000000
U115,148.500000,-168.500000,Top,-90.000000
U117,161.200000,-168.500000,Top,90.000000
U119,161.200000,-155.800000,Top,90.000000
U121,161.200000,-143.100000,Top,90.000000
U123,161.200000,-130.400000,Top,90.000000
U125,161.200000,-117.700000,Top,90.000000
U127,161.200000,-105.000000,Top,90.000000
U129,161.200000,-92.300000,Top,90.000000
U131,161.200000,-79.600000,Top,90.000000
U133,161.200000,-66.900000,Top,90.000000
U135,161.200000,-54.200000,Top,90.000000
U137,161.200000,-41.500000,Top,90.000000
U139,173.900000,-41.500000,Top,-90.000000
U141,173.900000,-54.200000,Top,-90.000000
U143,173.900000,-66.900000,Top,-90.000000
U145,173.900000,-79.600000,Top,-90.000000
U147,173.900000,-92.300000,Top,-90.000000
U149,173.900000,-105.000000,Top,-90.000000
U151,173.900000,-117.700000,Top,-90.000000
U153,173.900000,-130.400000,Top,-90.000000
U155,173.900000,-143.100000,Top,-90.000000
U157,173.900000,-155.800000,Top,-90.000000
U159,173.900000,-168.500000,Top,-90.000000
U162,186.600000,-155.800000,Top,90.000000
U164,186.600000,-143.100000,Top,90.000000
U166,186.600000,-130.400000,Top,90.000000
U168,186.600000,-117.700000,Top,90.000000
U170,186.600000,-105.000000,Top,90.000000
U172,186.600000,-92.300000,Top,90.000000
U174,186.600000,-79.600000,Top,90.000000
U176,186.600000,-66.900000,Top,90.000000
U178,186.600000,-54.200000,Top,90.000000
U181,199.300000,-54.200000,Top,-90.000000
U183,199.300000,-66.900000,Top,-90.000000
U185,199.300000,-79.600000,Top,-90.000000
U187,199.300000,-92.300000,Top,-90.000000
U189,199.300000,-105.000000,Top,-90.000000
U191,199.300000,-117.700000,Top,-90.000000
U193,199.300000,-130.400000,Top,-90.000000
U195,199.300000,-143.100000,Top,-90.000000
U197,199.300000,-155.800000,Top,-90.000000
U200,212.000000,-130.400000,Top,90.000000
U202,212.000000,-117.700000,Top,90.000000
U204,212.000000,-105.000000,Top,90.000000
U206,212.000000,-92.300000,Top,90.000000
U208,212.000000,-79.600000,Top,90.000000
